6ACB43E5CA100104E053AC1D15D713E8 |  | 双流区 | 成都远大林语城南地块三期 | 101269 | 78-80,82,84-87,89 | 1035 | 028-61919999 | 2018-05-02 09:00:00 | 2018-05-04 18:00:00 |  | 报名结束 | 查看
6ACB8D96E25001AEE053AC1D15D958E3 |  | 简阳市 | 滨湖城 | 30007102 | 6、7、15号楼 | 322 | 028-27227222 | 2018-05-02 09:00:00 | 2018-05-04 18:00:00 |  | 报名结束 | 查看
6ACB91047F03015AE053AC1D15D9FE60 |  | 都江堰市 | 正成源筑 | 1506 | 第14、15、18、19幢 | 379 | 028-65305288 | 2018-05-02 09:00:00 | 2018-05-04 18:00:00 |  | 报名结束 | 查看
6AE4BAA6124A01D0E053AC1D15D91A44 |  | 龙泉驿区 | 龙都国际二期 | 101279 | 8栋、9栋 | 708 | 028-84890888 | 2018-05-02 09:00:00 | 2018-05-04 18:00:00 |  | 报名结束 | 查看
6AE4FAEF3FFA02BEE053AC1D15D7C420 |  | 天府新区 | 中海锦江城 | 25570 | 2-2、2-3地块：1-8栋，2-4、2-5地块：1-4栋楼 | 1350 | 028-86165966 | 2018-05-02 09:00:00 | 2018-05-04 18:00:00 |  | 报名结束 | 查看
6AE4FB39CF9E03CCE053AC1D15D7AD5A |  | 成华区 | 青秀名邸 | 101277 | 1、5、6、7、9、11、12号楼 | 1056 | 028-68351111 | 2018-05-02 09:00:00 | 2018-05-04 18:00:00 |  | 报名结束 | 查看
6AA895C72CAB0198E053AC1D15D7A9A3 |  | 龙泉驿区 | 阳狮广场 | 101270 | 3栋、6栋 | 416 | 028-88457777 | 2018-05-02 09:00:00 | 2018-05-04 18:00:00 |  | 报名结束 | 查看
6AA8A16777180200E053AC1D15D7B5DD |  | 金堂县 | 和裕·印象三期 | 583 | 第11栋 | 150 | 84917555 | 2018-05-02 09:00:00 | 2018-05-04 18:00:00 |  | 报名结束 | 查看
6AA8BE4422F701D4E053AC1D15D905F4 |  | 温江区 | 明信城 | 101264 | 13、20号楼 | 666 | 028-87797770 | 2018-05-02 09:00:00 | 2018-05-04 18:00:00 |  | 报名结束 | 查看
6AB6B77EF2F90118E053AC1D15D9E0CD |  | 新都区 | 保利.拉斐二期 | 101275 | 5、6、7号地块 7、8、9、10、12号楼 | 756 | 028-85516588  | 2018-05-02 09:00:00 | 2018-05-04 18:00:00 |  | 报名结束 | 查看
6AB7339BCA5A02CAE053AC1D15D7E9B2 |  | 金堂县 | 金山国际二期 | 584 | 第10栋 | 168 | 028-84006868 | 2018-05-02 09:00:00 | 2018-05-04 18:00:00 |  | 报名结束 | 查看
