76BF46D428C2015AE053AC1D15D7F9F1 |  | 青白江区 | 佳兆业悦府 | 101723 | 1栋、2栋、23栋 | 378 | 86928888 | 2018-09-27 09:00:00 | 2018-09-29 18:00:00 | 2018-10-19 | 报名结束 | 查看
76C1C9A9D4BC03C6E053AC1D15D77213 |  | 双流区 | 华新锦绣尚郡 | 101718 | 二期88-91号及地下室；5A：145-153、155-158；5B：168-173、175-183、185-193号楼 | 251 | 028-81506666 | 2018-09-27 09:00:00 | 2018-09-29 18:00:00 | 2018-10-20 | 报名结束 | 查看
761DA0805EE4016CE053AC1D15D7D128 |  | 彭州市 | 牡丹花园小区 | 607 | 第2栋 | 94 | 028-83813888 | 2018-09-27 09:00:00 | 2018-09-29 18:00:00 | 2018-10-19 | 报名结束 | 查看
761DA0805F5C016CE053AC1D15D7D128 |  | 郫都区 | 同森·锦熙四期 | 101720 | 1栋、2栋 | 372 | 028-85809000 | 2018-09-27 09:00:00 | 2018-09-29 18:00:00 | 2018-10-20 | 报名结束 | 查看
769C1A258639026AE053AC1D15D7D7BA |  | 成华区 | 青秀名邸 | 101722 | 13号楼 | 72 | 028-68351111 | 2018-09-27 09:00:00 | 2018-09-29 18:00:00 | 2018-11-06 | 报名结束 | 查看
76A978C3D20E02EAE053AC1D15D7D5E6 |  | 双流区 | 锦镇香墅 | 101717 | 27-29号楼 | 84 | 028-85715888 | 2018-09-27 09:00:00 | 2018-09-29 18:00:00 | 2018-11-06 | 报名结束 | 查看
76ACD6D528A3019EE053AC1D15D734F9 |  | 崇州市 | 悠泊屿 | 912 | 19、20、31、32、36、37、38、40栋 | 448 | 028-82168333 | 2018-09-27 09:00:00 | 2018-09-29 18:00:00 | 2018-10-20 | 报名结束 | 查看
76BBB6B89560018AE053AC1D15D9B9E7 |  | 都江堰市 | 水岸华府 | 1527 | 第4、6幢 | 254 | 028-87237066 | 2018-09-27 09:00:00 | 2018-09-29 18:00:00 | 2018-11-02 | 报名结束 | 查看
76BCBBE8090B0064E053AC1D15D9C7A9 |  | 大邑县 | 香槟大道 | 430 | 6号楼 | 170 | 13540674297 | 2018-09-27 09:00:00 | 2018-09-29 18:00:00 | 2018-10-18 | 报名结束 | 查看
76BF46D427B6015AE053AC1D15D7F9F1 |  | 双流区 | 中铁·骑士府邸（二期） | 101716 | 1、2、8、9号楼 | 949 | 028-85379999 | 2018-09-27 09:00:00 | 2018-09-29 18:00:00 | 2018-10-25 | 报名结束 | 查看
76BF46D4288E015AE053AC1D15D7F9F1 |  | 双流区 | 西派国樾 | 101721 | 1、3、4、6-9、11号楼 | 876 | 028-85108888 | 2018-09-27 09:00:00 | 2018-09-29 18:00:00 | 2018-10-26 | 报名结束 | 查看
76BF46D428A8015AE053AC1D15D7F9F1 |  | 青白江区 | 万科时代之光 | 101719 | 一期（3栋、5栋）；二期（1栋、2栋、5栋） | 396 | 84333666 | 2018-09-27 09:00:00 | 2018-09-29 18:00:00 | 2018-10-19 | 报名结束 | 查看
