7A26FA02A6D902E8E053AC1D15D78F8B |  | 天府新区 | 翡翠和悦（一期） | 101926 | 1、3号楼 | 300 | 028-65060000 | 2018-11-10 09:00:00 | 2018-11-12 18:00:00 | 2018-11-25 | 报名结束 | 查看
7A339074B9CD01B6E053AC1D15D95751 |  | 高新南区 | 融创香璟台西苑 | 101932 | 地块（三）1、10、11、12号楼 | 194 | 028-62846666 | 2018-11-10 09:00:00 | 2018-11-12 18:00:00 | 2018-11-25 | 报名结束 | 查看
7A389EC867E6012EE053AC1D15D9E2DF |  | 蒲江县 | 中节能世纪中心三期1、2、3号楼 | 186 | 1、2、3号楼 | 311 | 028-88556170 | 2018-11-10 09:00:00 | 2018-11-12 18:00:00 | 2018-11-24 | 报名结束 | 查看
7A389EED840301D4E053AC1D15D94A2A |  | 高新南区 | 中环丰锦苑 | 101931 | 2、3、5、6号楼 | 191 | 028-85047777 | 2018-11-10 09:00:00 | 2018-11-12 18:00:00 | 2018-11-25 | 报名结束 | 查看
7A38A1F791260370E053AC1D15D71AEB |  | 天府新区 | 北辰南湖香麓小区 | 101930 | 8至19号楼、22至27号楼、30号楼、31号楼 | 208 | 028-61158888 | 2018-11-10 09:00:00 | 2018-11-12 18:00:00 | 2018-11-25 | 报名结束 | 查看
7A398DE90370041EE053AC1D15D72688 |  | 天府新区 | 麓湖之春花园 | 101935 | 27至37号楼、39至74号楼 | 122 | 27至37号楼、39至74号楼 | 2018-11-10 09:00:00 | 2018-11-12 18:00:00 | 2018-11-25 | 报名结束 | 查看
79E30526465D0290E053AC1D15D7B8D4 |  | 郫都区 | 远洋朗基御府 | 101937 | 2栋、3栋、8栋、9栋、13栋、14栋 | 224 | 028-80586666 | 2018-11-10 09:00:00 | 2018-11-12 18:00:00 | 2018-11-26 | 报名结束 | 查看
79E607B6F06203F0E053AC1D15D7EDF4 |  | 彭州市 | 观澜府一期 | 616 | 第2、4、6、9、11、12、14、16、17栋 | 362 | 028-85586161 | 2018-11-10 09:00:00 | 2018-11-12 18:00:00 | 2018-11-24 | 报名结束 | 查看
79E607B6F06403F0E053AC1D15D7EDF4 |  | 高新南区 | 普得先锋名筑 | 101934 | 1号楼、9号楼 | 338 | 028-85797777 | 2018-11-10 09:00:00 | 2018-11-12 18:00:00 | 2018-11-26 | 报名结束 | 查看
79E60D6ADF240086E053AC1D15D909AA |  | 温江区 | 上景东方邸 | 101927 | 1号楼 | 162 | 028-82731888 | 2018-11-10 09:00:00 | 2018-11-12 18:00:00 | 2018-11-24 | 报名结束 | 查看
7A1DCCB8A7DA0128E053AC1D15D71EA8 |  | 崇州市 | 翰林·首府 | 924 | 13、16栋 | 54 | 028-82225222 | 2018-11-10 09:00:00 | 2018-11-12 18:00:00 | 2018-11-23 | 报名结束 | 查看
7A247D9396A8017AE053AC1D15D788E2 |  | 新津县 | 双珑原著小区 | 571 | 第1-11栋、16、23、24栋 | 180 | 028-83310707 | 2018-11-10 09:00:00 | 2018-11-12 18:00:00 | 2018-11-24 | 报名结束 | 查看
