AFDEA834219C01BCE053AC1D15D721EA |  | 新都区 | 和成景筑 | 51011420205307 | 2、6、7号楼 | 543 | 028-86666610 | 2020-10-13 09:00:00 | 2020-10-15 17:00:00 | 2020-11-02 | 报名结束 | 查看
B01EE97EAA7A0130E053AC1D15D70282 |  | 温江区 | 凤溪院子 | 51011520205306 | 1、2、3、4、11栋 | 496 | 028-82719999 | 2020-10-13 09:00:00 | 2020-10-15 17:00:00 | 2020-10-31 | 报名结束 | 查看
B01F35663EB20256E053AC1D15D9E319 |  | 彭州市 | 南湖名邸小区 | 51018220205296 | 第1栋、第7栋 | 101 | 028-83833366 | 2020-10-13 09:00:00 | 2020-10-15 18:00:00 | 2020-10-19 | 报名结束 | 查看
B047E4F31A62014EE053AC1D15D73382 |  | 新都区 | 恒大滨河左岸 | 51011420205315 | 二期2#楼 | 128 | 028—83088999 | 2020-10-13 09:00:00 | 2020-10-15 17:00:00 | 2020-11-01 | 报名结束 | 查看
B06ABDBC5C1B0284E053AC1D15D785D7 |  | 天府新区 | 北辰南湖香麓小区 | 51011020205323 | 28、29、32号楼 | 28 | 028-61158888 | 2020-10-13 09:00:00 | 2020-10-15 17:00:00 | 2020-11-01 | 报名结束 | 查看
B06ACA394225022AE053AC1D15D71313 |  | 龙泉驿区 | 锦澜悦山小区 | 51011220205304 | 7、8、17、18、19栋 | 309 | 028-61000666 | 2020-10-13 09:00:00 | 2020-10-15 17:00:00 | 2020-11-01 | 报名结束 | 查看
B06AE6D4ED8201C6E053AC1D15D784FC |  | 高新南区 | 新景璟歆府 | 51010920205322 | 2、3号楼 | 190 | 028-85656666 | 2020-10-13 09:00:00 | 2020-10-15 17:00:00 | 2020-11-01 | 报名结束 | 查看
B06B01E00C09029AE053AC1D15D7E049 |  | 天府新区 | 招商时代花园 | 51011020205325 | 1、2、10号楼 | 276 | 028-83511818 | 2020-10-13 09:00:00 | 2020-10-15 17:00:00 | 2020-11-04 | 报名结束 | 查看
B06B509BA2930282E053AC1D15D9E4DD |  | 金牛区 | 时代天境雅苑 | 51010620205293 | 2、3、4号楼 | 219 | 028-60116666 | 2020-10-13 09:00:00 | 2020-10-15 17:00:00 | 2020-10-22 | 报名结束 | 查看
B06B509BA3270282E053AC1D15D9E4DD |  | 温江区 | 合谊万璟台 | 51011520205316 | 4、10栋 | 322 | 028- 86296888 | 2020-10-13 09:00:00 | 2020-10-15 17:00:00 | 2020-10-31 | 报名结束 | 查看
ABB5EE14F657013AE053AC1D15D9033A |  | 彭州市 | 鑫悦尚都小区 | 51018220205308 | 第10栋 | 200 | 028-62577777 | 2020-10-13 09:00:00 | 2020-10-15 18:00:00 | 2020-10-25 | 报名结束 | 查看
