B668D39238A02219E053101119AC5E89 |  | 天府新区 | 首开云著名邸 | 510110202013803 | 1号地块1、2号楼 | 252 | 028-60617777 | 2020-12-15 09:00:00 | 2020-12-16 17:00:00 | 2020-12-26 | 正在报名 | 查看
B668D39238ED2219E053101119AC5E89 |  | 天府新区 | 铂悦华庭 | 510110202013804 | 18、20号楼 | 170 | 028-65063666 | 2020-12-15 09:00:00 | 2020-12-16 17:00:00 | 2020-12-26 | 正在报名 | 查看
B668D4070E7A21B8E053101119AC2CD3 |  | 双流区 | 明信晓筑 | 510116202013805 | 1、2号楼 | 130 | 028-82709888 | 2020-12-15 09:00:00 | 2020-12-17 17:00:00 | 2020-12-25 | 正在报名 | 查看
B669DEE0134547F2E053111119AC975F |  | 天府新区 | 万达华庭 | 510110202013807 | 3号地块一期34号楼 | 300 | 028-67677777 | 2020-12-15 09:00:00 | 2020-12-16 17:00:00 | 2020-12-26 | 正在报名 | 查看
B669DEE0135A47F2E053111119AC975F |  | 新都区 | 爱普新鸿府 | 510114202013903 | 4号楼、5号楼 | 165 | 028-60232999 | 2020-12-15 09:00:00 | 2020-12-17 17:00:00 | 2020-12-23 | 正在报名 | 查看
B669E00A229747D6E053111119ACA96B |  | 天府新区 | 万科天府名邸 | 510110202013808 | 8号地块2、4-11、14-17号楼 | 204 | 028-85123555 | 2020-12-15 09:00:00 | 2020-12-16 17:00:00 | 2020-12-26 | 正在报名 | 查看
B66B21818D5B0A6CE053101119AC3442 |  | 青羊区 | 光华壹号花园 | 510105202013904 | 二期1-6、9号楼 | 312 | 028-87468069 | 2020-12-15 09:00:00 | 2020-12-16 17:00:00 | 2020-12-28 | 正在报名 | 查看
B66B6AF81AC917A6E053111119AC0CBC |  | 成华区 | 玖熹府 | 510108202013809 | 1、3、4号楼 | 568 | 028-81696666 | 2020-12-15 09:00:00 | 2020-12-16 17:00:00 | 2020-12-28 | 正在报名 | 查看
B668D39238A02219E053101119AC5E89 |  | 天府新区 | 首开云著名邸 | 510110202013803 | 1号地块1、2号楼 | 252 | 028-60617777 | 2020-12-15 09:00:00 | 2020-12-16 17:00:00 | 2020-12-26 | 未报名 | 查看
B668D39238ED2219E053101119AC5E89 |  | 天府新区 | 铂悦华庭 | 510110202013804 | 18、20号楼 | 170 | 028-65063666 | 2020-12-15 09:00:00 | 2020-12-16 17:00:00 | 2020-12-26 | 未报名 | 查看
B669DEE0134547F2E053111119AC975F |  | 天府新区 | 万达华庭 | 510110202013807 | 3号地块一期34号楼 | 300 | 028-67677777 | 2020-12-15 09:00:00 | 2020-12-16 17:00:00 | 2020-12-26 | 未报名 | 查看
B669DEE0135A47F2E053111119AC975F |  | 新都区 | 爱普新鸿府 | 510114202013903 | 4号楼、5号楼 | 165 | 028-60232999 | 2020-12-15 09:00:00 | 2020-12-17 17:00:00 | 2020-12-23 | 未报名 | 查看
B669E00A229747D6E053111119ACA96B |  | 天府新区 | 万科天府名邸 | 510110202013808 | 8号地块2、4-11、14-17号楼 | 204 | 028-85123555 | 2020-12-15 09:00:00 | 2020-12-17 17:00:00 | 2020-12-30 | 未报名 | 查看
B668D39238ED2219E053101119AC5E89 |  | 天府新区 | 铂悦华庭 | 510110202013804 | 18、20号楼 | 170 | 028-65063666 | 2020-12-15 09:00:00 | 2020-12-17 17:00:00 | 2020-12-30 | 未报名 | 查看
B668D39238A02219E053101119AC5E89 |  | 天府新区 | 首开云著名邸 | 510110202013803 | 1号地块1、2号楼 | 252 | 028-60617777 | 2020-12-15 09:00:00 | 2020-12-17 17:00:00 | 2020-12-30 | 未报名 | 查看
